idx,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,lat,lon,dist_1,dist_2,dist_3,ang_1,cos_1,sin_1,tg_1,ang_2,cos_2,sin_2,tg_2,ang_3,cos_3,sin_3,tg_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23
7601,-81.64,-99.21,-90.27285714285708,-103.1225,-100.05,-95.2242857142857,-63.55,-88.874,-85.33,-8.0541,-34.95754,1.3296904036531263,1.4247237428898438,0.14064151780734052,-152.6609531845751,-0.8883044587225905,-0.4592550365685341,0.5170018365425714,-95.3905159624724,-0.09394351896647983,-0.9955775284949909,10.597618009713104,16.388704975036916,0.9593696153879848,0.2821523366380476,0.2941018061364604,6,6,1,0,5,5
7602,-91.177619047619,-97.3328571428571,-90.8442857142857,-102.270833333333,-102.0075,-96.5942857142857,-81.3,-81.3505714285714,-94.35,-8.0541,-34.95592,1.2577221038795436,1.2470552412857507,0.2565921067966228,-159.90639723836134,-0.9391326168331264,-0.3435548398730022,0.3658214332194237,-96.16104826189213,-0.10732347110703494,-0.9942241560883228,9.26380917270903,58.275113829328745,0.5258411475697143,0.8505827928676701,1.6175660592534795,5,5,1,0,4,4
7603,-90.99142857142859,-91.4907142857143,-90.3642857142857,-81.92,-88.18,-88.54428571428568,-89.15,-86.59,-96.72,-8.0541,-34.94934,1.2170151974109666,0.531665428048477,0.9531546612512992,166.05890923767,-0.9705439478301608,0.24092414849957686,-0.2482362071683714,-104.57857719823059,-0.2517075156963409,-0.9678033511731484,3.844952140168524,81.86255537116959,0.1415482140025271,0.989931362829108,6.993598398998058,5,2,4,3,1,-2
7604,-87.43285714285709,-101.75,-89.61142857142859,-99.29,-90.5525,-89.6957142857143,-91.3166666666667,-92.13,-95.455,-8.05407,-34.95355,1.190175489904973,0.9872752383343508,0.4990254026490161,-171.74644407541922,-0.989642479389686,-0.14355404204492056,0.14505646739563013,-97.59651800094656,-0.13219615151714126,-0.9912235759524978,7.498127325014983,73.91726834708291,0.27702507195038817,0.9608626902481344,3.46850443349118,5,4,2,1,3,2
7605,-84.8790476190476,-84.31642857142859,-86.43035714285709,-62.98,-64.545,-78.2714285714286,-90.5733333333333,-90.53,-97.255,-8.05407,-34.946509999999996,1.324216207432999,0.24099410182207595,1.263091331038624,152.80685220092374,-0.8894710328565988,0.4569915554023022,-0.513779019800838,-122.78736832427923,-0.5415228821652938,-0.8406860104054268,1.5524478061645728,83.71719783426875,0.10943595999260733,0.9939938484017375,9.082881426442318,6,1,5,5,1,-4
7606,-94.91,-90.8878571428571,-90.3642857142857,-80.08,-84.8275,-91.53,-85.2516666666667,-86.59,-96.72,-8.05406,-34.94934,1.212722138640317,0.5305692371088541,0.9537909937074562,166.0085530552651,-0.9703318293174458,0.2417770481527543,-0.2491694499219158,-104.11622449687894,-0.24388964153689685,-0.9698029917210009,3.976400906613676,81.59948348762742,0.14609194668978615,0.989271016007438,6.771564336178441,5,2,4,3,1,-2
7607,-88.8657142857143,-96.6671428571429,-93.54,-97.49,-91.555,-82.16,-95.3933333333333,-86.544,-96.55,-8.05405,-34.95408,1.1977849066025783,1.0449385750709508,0.4438813789378893,-168.96454205672967,-0.981508911835147,-0.1914164464934652,0.19502262708503584,-97.05289276847931,-0.12278556326406705,-0.992433224682611,8.082654005082407,71.55315406115803,0.3164247474452151,0.9486176148502788,2.9979248542009813,5,4,2,1,3,2
7608,-90.99142857142859,-90.8878571428571,-93.3,-83.54,-84.8275,-89.99,-85.2516666666667,-86.59,-96.72,-8.05405,-34.94932,1.21218440978583,0.5281617789660811,0.956133814940596,165.89480280155902,-0.9698499134095092,0.24370298615233946,-0.25127907192938864,-104.0581957132558,-0.2429073066134584,-0.970049504094402,3.99349660419254,81.55322329955898,0.1468906290777607,0.9891527400200334,6.73394038973308,5,2,4,3,1,-2
7609,-83.9057142857143,-99.6357142857143,-86.47714285714291,-95.72,-100.225,-88.2328571428571,-78.955,-89.444,-57.1,-8.054039999999999,-34.959509999999995,1.4369484037844562,1.640513673240248,0.2270131136931561,-144.82370226284652,-0.817383288385112,-0.5760942282897311,0.7048030421907805,-94.44751935415188,-0.07754592647818119,-0.996988780923156,12.856752458862882,-51.421381838171826,0.6235879027469374,-0.7817532395504838,-1.2536375964107382,6,7,1,-1,5,6
7610,-84.6314285714286,-99.6357142857143,-86.47714285714291,-95.72,-100.225,-88.2328571428571,-78.955,-89.444,-61.08,-8.05402,-34.95955,1.4376888672691146,1.6447400843550863,0.23184154877619256,-144.6292914098857,-0.8154238360044554,-0.5788643776186084,0.7098938638524733,-94.35879196215815,-0.07600191211530223,-0.9971076718964798,13.119507709013574,-51.673541295454285,0.6201413687631551,-0.7844900781708846,-1.265018135680121,6,7,1,-1,5,6
7611,-91.177619047619,-97.33285714285721,-92.36714285714292,-102.270833333333,-102.0075,-96.35,-81.3,-83.06200000000003,-90.47,-8.05402,-34.955890000000004,1.248276866208679,1.2428468172524776,0.26412077219694385,-159.90941864058937,-0.9391507323479428,-0.3435053157235307,0.3657616438894141,-95.77187480795092,-0.10056792076659926,-0.9949301951959659,9.893116886696172,57.019688190794355,0.5443508157377593,0.8388576693370788,1.5410239960790248,5,5,1,0,4,4
7612,-90.99142857142859,-89.66928571428568,-92.0128571428571,-82.04,-84.03,-87.96285714285709,-85.2516666666667,-86.59,-96.72,-8.05401,-34.949290000000005,1.2087074627377894,0.523891027549609,0.9600625899733668,165.69166901167588,-0.9689798067225218,0.2471399080763451,-0.25505165986097417,-103.67671016650546,-0.2364432070688327,-0.971645310713228,4.10942366566008,81.32106891254845,0.1508973191846607,0.9885494418909369,6.5511398561110195,5,2,4,3,1,-2
7613,-80.01,-96.6671428571429,-90.83,-92.83,-99.61,-89.6957142857143,-91.38,-89.96799999999998,-95.455,-8.054,-34.953540000000004,1.1823557121844273,0.9851881249660552,0.5022799333804817,-171.74544992723156,-0.989639988411687,-0.14357121346744975,0.14507418369166042,-97.15870005848451,-0.12461806498618445,-0.9922047862609308,7.961965918592379,73.10353088726309,0.29064322882718097,0.9568314969402454,3.29211693938752,5,4,2,1,3,2
7614,-95.04,-96.6671428571429,-91.31285714285721,-97.3,-93.685,-95.67,-95.3933333333333,-85.59200000000001,-96.55,-8.053980000000001,-34.95407,1.189975407619427,1.042921543074547,0.4474314508457924,-168.94528120636866,-0.9814445088189828,-0.19174638486569964,0.19537160088290356,-96.63822727303423,-0.11559989500405528,-0.9932958593868452,8.592532539514849,70.65735919211926,0.33121669901515993,0.9435547139903976,2.848753449919536,5,4,2,1,3,2
7615,-90.99142857142859,-89.66928571428568,-92.0128571428571,-94.28,-84.03,-87.96285714285709,-85.2516666666667,-86.59,-96.72,-8.053980000000001,-34.949290000000005,1.2054927861556826,0.5231165070353581,0.9605689181916414,165.65269517334244,-0.9688114726078082,0.2477989720388083,-0.2557762568312624,-103.3236108480363,-0.230450752042286,-0.9730839896345768,4.222524686992659,81.12543104652184,0.15427185965999135,0.9880284375042288,6.404463132043665,5,2,4,3,1,-2
7616,-85.66,-99.6357142857143,-86.55142857142859,-95.72,-100.225,-88.2328571428571,-78.955,-89.444,-61.66,-8.05397,-34.95953,1.4319042974050795,1.6421305079904562,0.2336110412272488,-144.57313416980082,-0.8148560828138268,-0.5796633197825319,0.7113689546022199,-94.172251362171,-0.07275518407675009,-0.9973498298941842,13.708299175520894,-50.27413237862842,0.6391151171930468,-0.7691110888391338,-1.2033999324206586,6,7,1,-1,5,6
7617,-92.422619047619,-90.24214285714292,-93.0646428571429,-84.525,-95.73,-86.91095238095241,-97.59,-89.38,-97.255,-8.05397,-34.94826,1.237478846068414,0.4131440883212274,1.0730412879511375,160.5404407529556,-0.9428768652560884,0.33314143687757003,-0.3533244362582676,-106.80488411380978,-0.2891134015101915,-0.9572948558658438,3.31113968036552,82.00249667360337,0.13912994972382695,0.9902741322936016,7.11762014044637,5,2,5,3,0,-3
7618,-90.99142857142859,-89.055,-92.0128571428571,-74.92,-82.92,-86.43285714285709,-88.415,-83.74,-96.72,-8.05396,-34.94927,1.203899152182627,0.520464147834679,0.9630901446715708,165.5249614250744,-0.9682566288136144,0.2499581980221784,-0.2581528394269267,-103.14258861255816,-0.22737521230626725,-0.9738072257016168,4.282820523065325,81.01565204717025,0.15616464274479133,0.9877310384696796,6.324933871771842,5,2,4,3,1,-2
7619,-96.54,-90.24214285714292,-93.0646428571429,-76.83,-91.72,-88.72,-91.3383333333333,-93.24799999999999,-97.255,-8.05396,-34.94826,1.2364361195293392,0.41282570715186334,1.0731957448613014,160.5233669383811,-0.9427775491508597,0.33342239399461243,-0.35365966690118905,-106.65794312254059,-0.2866573711085835,-0.9580331683136633,3.342084540190553,81.94402608334192,0.1401404561271183,0.9901316339540329,7.065280514399829,5,2,5,3,0,-3
7620,-92.422619047619,-90.24214285714292,-93.0646428571429,-84.15,-82.46,-86.91095238095241,-91.07,-93.64,-97.255,-8.05396,-34.94825,1.2368040929354247,0.41176979772005146,1.0742871619553536,160.4752249035441,-0.9424970625466274,0.3342144327987331,-0.3546052779153344,-106.70190876540893,-0.2873924288197055,-0.9578129211161804,3.3327701952686466,81.95226619297503,0.13999805687373176,0.990151778300468,7.072610866260197,5,2,5,3,0,-3
7621,-92.422619047619,-90.24214285714292,-93.0646428571429,-84.58,-84.615,-90.97,-91.3383333333333,-93.24799999999999,-97.255,-8.05396,-34.94824000000001,1.2371729390281252,0.4107141320006074,1.075378601218935,160.42711154097663,-0.9422160781867108,0.3350057641391477,-0.3555508889042356,-106.74610044930266,-0.28813109516077834,-0.9575909732247117,3.3234558480762786,81.96048957783184,0.13985594375827895,0.99017186134301,7.079941221907457,5,2,5,3,0,-3
7622,-95.42,-90.24214285714292,-95.48,-82.05,-90.065,-96.92,-91.3383333333333,-93.24799999999999,-97.255,-8.05396,-34.94823,1.237542657028431,0.4096587118762205,1.076470062588876,160.3790268927334,-0.941934597703727,0.3357963871883049,-0.3564964998704987,-106.7905198690452,-0.2888733953846651,-0.9573673074838804,3.3141414985933397,81.96869628848235,0.1397141159273186,0.9901918833290079,7.087271581377795,5,2,5,3,0,-3
7623,-86.3633333333333,-91.405,-88.0725,-82.72166666666669,-74.215,-81.5666666666667,-88.66,-93.24799999999999,-97.255,-8.05396,-34.94822,1.23791324615415,0.4086035392507516,1.0775615459924814,160.33097100092903,-0.941652622732016,0.33658630112040416,-0.35744211081138033,-106.83516873562469,-0.2896193549606917,-0.9571419065280512,3.3048271468526624,81.97688637523494,0.13957257253178815,0.9902118445044266,7.094601944654293,5,2,5,3,0,-3
7624,-92.595,-90.24214285714292,-94.09,-80.925,-82.96,-91.22,-91.3383333333333,-93.24799999999999,-97.255,-8.05395,-34.94826,1.2353935029724668,0.41251004539823977,1.0733513191099004,160.50626430322652,-0.9426779814688612,0.3337037956838274,-0.3539955342585356,-106.5107762772062,-0.28419567595095024,-0.95876629987228,3.373613256655441,81.8855723820133,0.14115052476776932,0.9899881460693272,7.0137050336732685,5,2,5,3,0,-3
